City,State,METAREA
Providence-Fall River-Warwick,MA-RI,6483
Providence-Warwick,RI-MA,6484
Provo-Orem,UT,6520
Pueblo,CO,6560
Punta Gorda,FL,6580
Racine,WI,6600
Raleigh-Durham,NC,6640
Durham,NC,6641
Raleigh-Carey,NC,6642
Reading,PA,6680
Redding,CA,6690
Reno,NV,6720
Reno-Sparks,NV,6721
Richmond-Petersburg,VA,6760
Richmond,VA,6761
Riverside-San Bernadino,CA,6780
Roanoke,VA,6800
Rochester,NY,6840
Rockford,IL,6880
Sacramento,CA,6920
Sacramento-Arden Arcade-Roseville,CA,6921
Saginaw-Bay City-Midland,MI,6960
Saginaw-Saginaw Township North,MI,6961
St. Cloud,MN,6980
St. George,UT,7000
St. Louis,MO/IL,7040
Salem,OR,7080
Salinas-Sea Side-Monterey,CA,7120
Salinas,CA,7121
Salisbury,MD,7130
Salt Lake City-Ogden,UT,7160
Salt Lake City,UT,7161
Ogden-Clearfield,UT,7162
San Antonio,TX,7240
San Diego,CA,7320
San Diego-Carlsbad-San Marcos,CA,7321
San Francisco-Oaklan-Vallejo,CA,7360
Oakland,CA,7361
Vallejo-Fairfield-Napa,CA,7362
Vallejo-Fairfield,CA,7363
Napa,CA,7364
San Francisco-Oakland-Fremont,CA,7365
San Jose,CA,7400
San Jose-Sunnyvale-Santa Clara,CA,7401
San Luis Obispo-Atascadero-Paso Robles,CA,7460
San Luis Obispo-Paso Robles,CA,7461
Santa Barbara-Santa Maria-Lompoc,CA,7470
Santa Barbara-Santa Maria-Goleta,CA,7471
Santa Barbara-Santa Maria,CA,7472
Santa Cruz,CA,7480
Santa Cruz-Watsonville,CA,7481
Santa Fe,NM,7490
Santa Rosa-Petaluma,CA,7500
Sarasota,FL,7510
Sarasota-Bradenton-Venice,FL,7511
Savannah,GA,7520
Scranton-Wilkes-Barre,PA,7560
Seattle-Everett,WA,7600
Seattle-Tacoma-Bellevue,WA,7601
Sharon,PA,7610
Sherman-Denison,TX,7640
Shreveport,LA,7680
Shreveport-Bossier City,LA,7681
Sioux City,IA-NE,7720
Sioux Falls,SD,7760
South Bend-Mishawaka,IN,7800
Spokane,WA,7840
Springfield,IL,7880
Springfield,MO,7920
Springfield-Holyoke-Chicopee,MA,8000
Springfield,MA/CT,8001
Stamford,CT,8040
Stockton,CA,8120
Syracuse,NY,8160
Tacoma,WA,8200
Tallahassee,FL,8240
Tampa-St. Petersburg-Clearwater,FL,8280
Terre Haute,IN,8320
Toledo,OH/MI,8400
Topeka,KS,8440
Trenton,NJ,8480
Trenton-Ewing,NJ,8481
Tucson,AZ,8520
Tulsa,OK,8560
Tuscaloosa,AL,8600
Tyler,TX,8620
Urban Honolulu,HI,8640
Utica-Rome,NY,8680
Valdosta,GA,8700
Ventura-Oxnard-Simi Valley,CA,8730
Oxnard-Thousand Oaks-Ventura,CA,8731
Vero Beach,FL,8740
Victoria,TX,8750
Vineland-Milville-Bridgetown,NJ,8760
Visalia-Tulare-Porterville,CA,8780
Visalia-Porterville,CA,8781
Waco,TX,8800
Washington,DC/MD/VA,8840
Waterbury,CT,8880
Waterloo-Cedar Falls,IA,8920
Watertown-Fort Drum,NY,8930
Wausau,WI,8940
West Palm Beach-Boca Raton-Delray Beach,FL,8960
Wheeling,WV/OH,9000
Wichita,KS,9040
Wichita Falls,TX,9050
Williamsport,PA,9140
Wilmington,DE/NJ/MD,9160
Wilmington,NC,9200
Winchester,VA-WV,9220
Worcester,MA,9240
Yakima,WA,9260
Yolo,CA,9270
York,PA,9280
York-Hanover,PA,9281
Youngstown-Warren,OH/PA,9320
Youngstown-Warren-Boardman,OH,9321
Yuba City,CA,9340
Yuma,AZ,9360
Other metropolitan areas,unidentified,9997
NIU,household,9998
