"location","date","variant","num_sequences","perc_sequences","num_sequences_total"
"Angola","2021-06-14","Alpha",17,77.27,22
"Angola","2021-06-14","Delta",0,0,22
"Angola","2021-06-14","Omicron",0,0,22
"Angola","2021-06-28","Alpha",30,50.85,59
"Angola","2021-06-28","Delta",10,16.95,59
"Angola","2021-06-28","Omicron",0,0,59
"Angola","2021-07-12","Alpha",9,19.57,46
"Angola","2021-07-12","Delta",23,50,46
"Angola","2021-07-12","Omicron",0,0,46
"Angola","2021-07-26","Alpha",2,20,10
"Angola","2021-07-26","Delta",6,60,10
"Angola","2021-07-26","Omicron",0,0,10
"Angola","2021-08-09","Alpha",0,0,4
"Angola","2021-08-09","Delta",3,75,4
"Angola","2021-08-09","Omicron",0,0,4
"Angola","2021-08-23","Alpha",0,0,1
"Angola","2021-08-23","Delta",1,100,1
"Angola","2021-08-23","Omicron",0,0,1
"Angola","2021-09-06","Alpha",0,0,20
"Angola","2021-09-06","Delta",20,100,20
"Angola","2021-09-06","Omicron",0,0,20
"Angola","2021-09-20","Alpha",0,0,57
"Angola","2021-09-20","Delta",57,100,57
"Angola","2021-09-20","Omicron",0,0,57
"Angola","2021-10-04","Alpha",0,0,33
"Angola","2021-10-04","Delta",33,100,33
"Angola","2021-10-04","Omicron",0,0,33
"Argentina","2020-05-11","Alpha",0,0,151
"Argentina","2020-05-11","Delta",0,0,151
"Argentina","2020-05-11","Omicron",0,0,151
"Argentina","2020-05-25","Alpha",0,0,167
"Argentina","2020-05-25","Delta",0,0,167
"Argentina","2020-05-25","Omicron",0,0,167
"Argentina","2020-06-08","Alpha",0,0,67
"Argentina","2020-06-08","Delta",0,0,67
"Argentina","2020-06-08","Omicron",0,0,67
"Argentina","2020-06-22","Alpha",0,0,79
"Argentina","2020-06-22","Delta",0,0,79
"Argentina","2020-06-22","Omicron",0,0,79
"Argentina","2020-07-06","Alpha",0,0,63
"Argentina","2020-07-06","Delta",0,0,63
"Argentina","2020-07-06","Omicron",0,0,63
"Argentina","2020-07-20","Alpha",0,0,113
"Argentina","2020-07-20","Delta",0,0,113
"Argentina","2020-07-20","Omicron",0,0,113
"Argentina","2020-08-03","Alpha",0,0,103
"Argentina","2020-08-03","Delta",0,0,103
"Argentina","2020-08-03","Omicron",0,0,103
"Argentina","2020-08-17","Alpha",0,0,113
"Argentina","2020-08-17","Delta",0,0,113
"Argentina","2020-08-17","Omicron",0,0,113
"Argentina","2020-08-31","Alpha",0,0,138
"Argentina","2020-08-31","Delta",0,0,138
"Argentina","2020-08-31","Omicron",0,0,138
"Argentina","2020-09-14","Alpha",0,0,50
"Argentina","2020-09-14","Delta",0,0,50
"Argentina","2020-09-14","Omicron",0,0,50
"Argentina","2020-09-28","Alpha",0,0,56
"Argentina","2020-09-28","Delta",0,0,56
"Argentina","2020-09-28","Omicron",0,0,56
"Argentina","2020-10-12","Alpha",0,0,39
"Argentina","2020-10-12","Delta",0,0,39
"Argentina","2020-10-12","Omicron",0,0,39
"Argentina","2020-10-26","Alpha",0,0,102
"Argentina","2020-10-26","Delta",0,0,102
"Argentina","2020-10-26","Omicron",0,0,102
"Argentina","2020-11-09","Alpha",0,0,58
"Argentina","2020-11-09","Delta",0,0,58
"Argentina","2020-11-09","Omicron",0,0,58
"Argentina","2020-11-23","Alpha",0,0,63
"Argentina","2020-11-23","Delta",1,1.59,63
"Argentina","2020-11-23","Omicron",0,0,63
"Argentina","2020-12-07","Alpha",0,0,49
"Argentina","2020-12-07","Delta",0,0,49
"Argentina","2020-12-07","Omicron",0,0,49
"Argentina","2020-12-21","Alpha",0,0,71
"Argentina","2020-12-21","Delta",0,0,71
"Argentina","2020-12-21","Omicron",0,0,71
"Argentina","2021-01-04","Alpha",1,2.04,49
"Argentina","2021-01-04","Delta",0,0,49
"Argentina","2021-01-04","Omicron",0,0,49
"Argentina","2021-01-11","Alpha",0,0,33
"Argentina","2021-01-11","Delta",0,0,33
"Argentina","2021-01-11","Omicron",0,0,33
"Argentina","2021-01-25","Alpha",0,0,62
"Argentina","2021-01-25","Delta",0,0,62
"Argentina","2021-01-25","Omicron",0,0,62
"Argentina","2021-02-08","Alpha",5,7.25,69
"Argentina","2021-02-08","Delta",0,0,69
"Argentina","2021-02-08","Omicron",0,0,69
"Argentina","2021-02-22","Alpha",0,0,57
"Argentina","2021-02-22","Delta",0,0,57
"Argentina","2021-02-22","Omicron",0,0,57
"Argentina","2021-03-08","Alpha",5,7.69,65
"Argentina","2021-03-08","Delta",1,1.54,65
"Argentina","2021-03-08","Omicron",0,0,65
"Argentina","2021-03-22","Alpha",22,12.43,177
"Argentina","2021-03-22","Delta",0,0,177
"Argentina","2021-03-22","Omicron",0,0,177
"Argentina","2021-04-05","Alpha",32,16.33,196
"Argentina","2021-04-05","Delta",0,0,196
"Argentina","2021-04-05","Omicron",0,0,196
"Argentina","2021-04-19","Alpha",38,12.75,298
"Argentina","2021-04-19","Delta",0,0,298
"Argentina","2021-04-19","Omicron",0,0,298
"Argentina","2021-05-03","Alpha",43,12.76,337
"Argentina","2021-05-03","Delta",1,0.3,337
"Argentina","2021-05-03","Omicron",0,0,337
"Argentina","2021-05-17","Alpha",41,12.13,338
"Argentina","2021-05-17","Delta",0,0,338
"Argentina","2021-05-17","Omicron",0,0,338
"Argentina","2021-05-31","Alpha",32,10.63,301
"Argentina","2021-05-31","Delta",0,0,301
"Argentina","2021-05-31","Omicron",0,0,301
"Argentina","2021-06-14","Alpha",35,8.6,407
"Argentina","2021-06-14","Delta",1,0.25,407
"Argentina","2021-06-14","Omicron",0,0,407
"Argentina","2021-06-28","Alpha",35,9.21,380
"Argentina","2021-06-28","Delta",2,0.53,380
"Argentina","2021-06-28","Omicron",0,0,380
"Argentina","2021-07-12","Alpha",15,4.21,356
"Argentina","2021-07-12","Delta",19,5.34,356
"Argentina","2021-07-12","Omicron",0,0,356
"Argentina","2021-07-26","Alpha",14,4.17,336
"Argentina","2021-07-26","Delta",44,13.1,336
"Argentina","2021-07-26","Omicron",0,0,336
"Argentina","2021-08-09","Alpha",13,2.71,480
"Argentina","2021-08-09","Delta",86,17.92,480
"Argentina","2021-08-09","Omicron",0,0,480
"Argentina","2021-08-23","Alpha",9,2.01,447
"Argentina","2021-08-23","Delta",85,19.02,447
"Argentina","2021-08-23","Omicron",0,0,447
"Argentina","2021-09-06","Alpha",4,0.89,447
"Argentina","2021-09-06","Delta",90,20.13,447
"Argentina","2021-09-06","Omicron",0,0,447
"Argentina","2021-09-20","Alpha",3,0.96,313
"Argentina","2021-09-20","Delta",127,40.58,313
"Argentina","2021-09-20","Omicron",0,0,313
"Argentina","2021-10-04","Alpha",2,0.84,237
"Argentina","2021-10-04","Delta",113,47.68,237
"Argentina","2021-10-04","Omicron",0,0,237
"Argentina","2021-10-18","Alpha",3,0.83,361
"Argentina","2021-10-18","Delta",171,47.37,361
"Argentina","2021-10-18","Omicron",0,0,361
"Argentina","2021-11-01","Alpha",10,1.81,553
"Argentina","2021-11-01","Delta",417,75.41,553
"Argentina","2021-11-01","Omicron",0,0,553
"Argentina","2021-11-15","Alpha",4,1.2,332
"Argentina","2021-11-15","Delta",270,81.33,332
"Argentina","2021-11-15","Omicron",0,0,332
"Argentina","2021-11-29","Alpha",0,0,117
"Argentina","2021-11-29","Delta",105,89.74,117
"Argentina","2021-11-29","Omicron",0,0,117
"Argentina","2021-12-13","Alpha",0,0,87
"Argentina","2021-12-13","Delta",70,80.46,87
"Argentina","2021-12-13","Omicron",13,14.94,87
"Argentina","2021-12-27","Alpha",0,0,94
"Argentina","2021-12-27","Delta",12,12.77,94
"Argentina","2021-12-27","Omicron",80,85.11,94
"Aruba","2020-08-17","Alpha",0,0,4
"Aruba","2020-08-17","Delta",0,0,4
"Aruba","2020-08-17","Omicron",0,0,4
"Aruba","2020-08-31","Alpha",0,0,1
"Aruba","2020-08-31","Delta",0,0,1
"Aruba","2020-08-31","Omicron",0,0,1
"Aruba","2021-01-25","Alpha",1,3.85,26
"Aruba","2021-01-25","Delta",0,0,26
"Aruba","2021-01-25","Omicron",0,0,26
"Aruba","2021-02-08","Alpha",9,7.89,114
"Aruba","2021-02-08","Delta",0,0,114
"Aruba","2021-02-08","Omicron",0,0,114
"Aruba","2021-02-22","Alpha",37,24.03,154
"Aruba","2021-02-22","Delta",0,0,154
"Aruba","2021-02-22","Omicron",0,0,154
"Aruba","2021-03-08","Alpha",65,52,125
"Aruba","2021-03-08","Delta",0,0,125
"Aruba","2021-03-08","Omicron",0,0,125
"Aruba","2021-03-22","Alpha",66,66.67,99
"Aruba","2021-03-22","Delta",0,0,99
"Aruba","2021-03-22","Omicron",0,0,99
"Aruba","2021-04-05","Alpha",74,80.43,92
"Aruba","2021-04-05","Delta",0,0,92
"Aruba","2021-04-05","Omicron",0,0,92
"Aruba","2021-04-19","Alpha",96,66.21,145
"Aruba","2021-04-19","Delta",14,9.66,145
"Aruba","2021-04-19","Omicron",0,0,145
"Aruba","2021-05-03","Alpha",86,61.43,140
"Aruba","2021-05-03","Delta",2,1.43,140
"Aruba","2021-05-03","Omicron",0,0,140
"Aruba","2021-05-17","Alpha",54,53.47,101
"Aruba","2021-05-17","Delta",10,9.9,101
"Aruba","2021-05-17","Omicron",0,0,101
"Aruba","2021-05-31","Alpha",52,48.6,107
"Aruba","2021-05-31","Delta",0,0,107
"Aruba","2021-05-31","Omicron",0,0,107
"Aruba","2021-06-14","Alpha",5,5.62,89
"Aruba","2021-06-14","Delta",4,4.49,89
"Aruba","2021-06-14","Omicron",0,0,89
"Aruba","2021-06-28","Alpha",3,12.5,24
"Aruba","2021-06-28","Delta",0,0,24
"Aruba","2021-06-28","Omicron",0,0,24
"Aruba","2021-07-12","Alpha",2,6.9,29
"Aruba","2021-07-12","Delta",13,44.83,29
"Aruba","2021-07-12","Omicron",0,0,29
"Aruba","2021-07-26","Alpha",1,1.03,97
"Aruba","2021-07-26","Delta",84,86.6,97
"Aruba","2021-07-26","Omicron",0,0,97
"Aruba","2021-08-09","Alpha",0,0,341
"Aruba","2021-08-09","Delta",335,98.24,341
"Aruba","2021-08-09","Omicron",0,0,341
"Aruba","2021-08-23","Alpha",0,0,525
"Aruba","2021-08-23","Delta",518,98.67,525
"Aruba","2021-08-23","Omicron",0,0,525
"Aruba","2021-09-06","Alpha",0,0,261
"Aruba","2021-09-06","Delta",258,98.85,261
"Aruba","2021-09-06","Omicron",0,0,261
"Aruba","2021-09-20","Alpha",0,0,140
"Aruba","2021-09-20","Delta",140,100,140
"Aruba","2021-09-20","Omicron",0,0,140
"Aruba","2021-10-04","Alpha",0,0,177
"Aruba","2021-10-04","Delta",177,100,177
"Aruba","2021-10-04","Omicron",0,0,177
"Aruba","2021-10-18","Alpha",0,0,37
"Aruba","2021-10-18","Delta",37,100,37
"Aruba","2021-10-18","Omicron",0,0,37
"Aruba","2021-11-15","Alpha",0,0,68
"Aruba","2021-11-15","Delta",68,100,68
"Aruba","2021-11-15","Omicron",0,0,68
"Aruba","2021-11-29","Alpha",0,0,43
"Aruba","2021-11-29","Delta",43,100,43
"Aruba","2021-11-29","Omicron",0,0,43
"Aruba","2021-12-13","Alpha",0,0,61
"Aruba","2021-12-13","Delta",61,100,61
"Aruba","2021-12-13","Omicron",0,0,61
"Australia","2020-05-11","Alpha",0,0,148
"Australia","2020-05-11","Delta",0,0,148
"Australia","2020-05-11","Omicron",0,0,148
"Australia","2020-05-25","Alpha",0,0,103
"Australia","2020-05-25","Delta",0,0,103
"Australia","2020-05-25","Omicron",0,0,103
"Australia","2020-06-08","Alpha",0,0,94
"Australia","2020-06-08","Delta",0,0,94
"Australia","2020-06-08","Omicron",0,0,94
"Australia","2020-06-22","Alpha",0,0,172
"Australia","2020-06-22","Delta",0,0,172
"Australia","2020-06-22","Omicron",0,0,172
"Australia","2020-07-06","Alpha",0,0,814
"Australia","2020-07-06","Delta",0,0,814
"Australia","2020-07-06","Omicron",0,0,814
"Australia","2020-07-20","Alpha",0,0,2733
"Australia","2020-07-20","Delta",0,0,2733
"Australia","2020-07-20","Omicron",0,0,2733
"Australia","2020-08-03","Alpha",0,0,4183
"Australia","2020-08-03","Delta",0,0,4183
"Australia","2020-08-03","Omicron",0,0,4183
"Australia","2020-08-17","Alpha",0,0,3020
"Australia","2020-08-17","Delta",0,0,3020
"Australia","2020-08-17","Omicron",0,0,3020
"Australia","2020-08-31","Alpha",0,0,1987
"Australia","2020-08-31","Delta",0,0,1987
"Australia","2020-08-31","Omicron",0,0,1987
"Australia","2020-09-14","Alpha",0,0,770
"Australia","2020-09-14","Delta",0,0,770
"Australia","2020-09-14","Omicron",0,0,770
"Australia","2020-09-28","Alpha",0,0,323
"Australia","2020-09-28","Delta",0,0,323
"Australia","2020-09-28","Omicron",0,0,323
"Australia","2020-10-12","Alpha",0,0,182
"Australia","2020-10-12","Delta",0,0,182
"Australia","2020-10-12","Omicron",0,0,182
"Australia","2020-10-26","Alpha",0,0,132
"Australia","2020-10-26","Delta",0,0,132
"Australia","2020-10-26","Omicron",0,0,132
"Australia","2020-11-09","Alpha",0,0,63
"Australia","2020-11-09","Delta",0,0,63
"Australia","2020-11-09","Omicron",0,0,63
"Australia","2020-11-23","Alpha",0,0,64
"Australia","2020-11-23","Delta",0,0,64
"Australia","2020-11-23","Omicron",0,0,64
"Australia","2020-12-07","Alpha",1,2.04,49
"Australia","2020-12-07","Delta",0,0,49
"Australia","2020-12-07","Omicron",0,0,49
"Australia","2020-12-21","Alpha",6,4.23,142
"Australia","2020-12-21","Delta",0,0,142
"Australia","2020-12-21","Omicron",0,0,142
"Australia","2021-01-04","Alpha",18,8.65,208
"Australia","2021-01-04","Delta",0,0,208
"Australia","2021-01-04","Omicron",0,0,208
"Australia","2021-01-11","Alpha",21,28.38,74
"Australia","2021-01-11","Delta",0,0,74
"Australia","2021-01-11","Omicron",0,0,74
"Australia","2021-01-25","Alpha",44,44,100
"Australia","2021-01-25","Delta",0,0,100
"Australia","2021-01-25","Omicron",0,0,100
"Australia","2021-02-08","Alpha",22,41.51,53
"Australia","2021-02-08","Delta",0,0,53
"Australia","2021-02-08","Omicron",0,0,53
"Australia","2021-02-22","Alpha",64,80,80
"Australia","2021-02-22","Delta",0,0,80
"Australia","2021-02-22","Omicron",0,0,80
"Australia","2021-03-08","Alpha",31,43.66,71
"Australia","2021-03-08","Delta",0,0,71
"Australia","2021-03-08","Omicron",0,0,71
"Australia","2021-03-22","Alpha",61,50,122
"Australia","2021-03-22","Delta",1,0.82,122
"Australia","2021-03-22","Omicron",0,0,122
"Australia","2021-04-05","Alpha",67,54.47,123
"Australia","2021-04-05","Delta",3,2.44,123
"Australia","2021-04-05","Omicron",0,0,123
"Australia","2021-04-19","Alpha",73,46.5,157
"Australia","2021-04-19","Delta",34,21.66,157
"Australia","2021-04-19","Omicron",0,0,157
"Australia","2021-05-03","Alpha",63,30.88,204
"Australia","2021-05-03","Delta",84,41.18,204
"Australia","2021-05-03","Omicron",0,0,204
"Australia","2021-05-17","Alpha",49,41.88,117
"Australia","2021-05-17","Delta",45,38.46,117
"Australia","2021-05-17","Omicron",0,0,117
"Australia","2021-05-31","Alpha",13,12.04,108
"Australia","2021-05-31","Delta",19,17.59,108
"Australia","2021-05-31","Omicron",0,0,108
"Australia","2021-06-14","Alpha",22,16.67,132
"Australia","2021-06-14","Delta",55,41.67,132
"Australia","2021-06-14","Omicron",0,0,132
"Australia","2021-06-28","Alpha",19,7.69,247
"Australia","2021-06-28","Delta",209,84.62,247
"Australia","2021-06-28","Omicron",0,0,247
"Australia","2021-07-12","Alpha",26,3.39,767
"Australia","2021-07-12","Delta",732,95.44,767
"Australia","2021-07-12","Omicron",0,0,767
"Australia","2021-07-26","Alpha",6,0.34,1742
"Australia","2021-07-26","Delta",1736,99.66,1742
"Australia","2021-07-26","Omicron",0,0,1742
"Australia","2021-08-09","Alpha",3,0.11,2734
"Australia","2021-08-09","Delta",2731,99.89,2734
"Australia","2021-08-09","Omicron",0,0,2734
"Australia","2021-08-23","Alpha",3,0.09,3198
"Australia","2021-08-23","Delta",3195,99.91,3198
"Australia","2021-08-23","Omicron",0,0,3198
"Australia","2021-09-06","Alpha",1,0.03,3744
"Australia","2021-09-06","Delta",3742,99.95,3744
"Australia","2021-09-06","Omicron",0,0,3744
"Australia","2021-09-20","Alpha",0,0,3526
"Australia","2021-09-20","Delta",3526,100,3526
"Australia","2021-09-20","Omicron",0,0,3526
"Australia","2021-10-04","Alpha",0,0,1824
"Australia","2021-10-04","Delta",1823,99.95,1824
"Australia","2021-10-04","Omicron",0,0,1824
"Australia","2021-10-18","Alpha",0,0,2410
"Australia","2021-10-18","Delta",2410,100,2410
"Australia","2021-10-18","Omicron",0,0,2410
"Australia","2021-11-01","Alpha",0,0,1883
"Australia","2021-11-01","Delta",1883,100,1883
"Australia","2021-11-01","Omicron",0,0,1883
"Australia","2021-11-15","Alpha",0,0,2078
"Australia","2021-11-15","Delta",2078,100,2078
"Australia","2021-11-15","Omicron",0,0,2078
"Australia","2021-11-29","Alpha",0,0,1992
"Australia","2021-11-29","Delta",1984,99.6,1992
"Australia","2021-11-29","Omicron",8,0.4,1992
"Australia","2021-12-13","Alpha",0,0,2800
"Australia","2021-12-13","Delta",2432,86.86,2800
"Australia","2021-12-13","Omicron",366,13.07,2800
"Australia","2021-12-27","Alpha",0,0,1726
"Australia","2021-12-27","Delta",406,23.52,1726
"Australia","2021-12-27","Omicron",1319,76.42,1726
"Austria","2020-05-11","Alpha",0,0,34
"Austria","2020-05-11","Delta",0,0,34
"Austria","2020-05-11","Omicron",0,0,34
"Austria","2020-05-25","Alpha",0,0,41
"Austria","2020-05-25","Delta",0,0,41
"Austria","2020-05-25","Omicron",0,0,41
"Austria","2020-06-08","Alpha",0,0,1
"Austria","2020-06-08","Delta",0,0,1
"Austria","2020-06-08","Omicron",0,0,1
"Austria","2020-06-22","Alpha",0,0,1
"Austria","2020-06-22","Delta",0,0,1
"Austria","2020-06-22","Omicron",0,0,1
"Austria","2020-07-06","Alpha",0,0,2
"Austria","2020-07-06","Delta",0,0,2
"Austria","2020-07-06","Omicron",0,0,2
"Austria","2020-07-20","Alpha",0,0,11
"Austria","2020-07-20","Delta",0,0,11
"Austria","2020-07-20","Omicron",0,0,11
"Austria","2020-08-03","Alpha",0,0,9
"Austria","2020-08-03","Delta",0,0,9
"Austria","2020-08-03","Omicron",0,0,9
"Austria","2020-08-17","Alpha",0,0,22
"Austria","2020-08-17","Delta",0,0,22
"Austria","2020-08-17","Omicron",0,0,22
"Austria","2020-08-31","Alpha",0,0,44
"Austria","2020-08-31","Delta",0,0,44
"Austria","2020-08-31","Omicron",0,0,44
"Austria","2020-09-14","Alpha",0,0,35
"Austria","2020-09-14","Delta",0,0,35
"Austria","2020-09-14","Omicron",0,0,35
"Austria","2020-09-28","Alpha",0,0,39
"Austria","2020-09-28","Delta",0,0,39
"Austria","2020-09-28","Omicron",0,0,39
"Austria","2020-10-12","Alpha",0,0,30
"Austria","2020-10-12","Delta",0,0,30
"Austria","2020-10-12","Omicron",0,0,30
"Austria","2020-10-26","Alpha",0,0,84
"Austria","2020-10-26","Delta",0,0,84
"Austria","2020-10-26","Omicron",0,0,84
"Austria","2020-11-09","Alpha",0,0,181
"Austria","2020-11-09","Delta",0,0,181
"Austria","2020-11-09","Omicron",0,0,181
"Austria","2020-11-23","Alpha",0,0,159
"Austria","2020-11-23","Delta",0,0,159
"Austria","2020-11-23","Omicron",0,0,159
"Austria","2020-12-07","Alpha",2,1.46,137
"Austria","2020-12-07","Delta",0,0,137
"Austria","2020-12-07","Omicron",0,0,137
"Austria","2020-12-21","Alpha",0,0,45
"Austria","2020-12-21","Delta",0,0,45
"Austria","2020-12-21","Omicron",0,0,45
"Austria","2021-01-04","Alpha",15,4.76,315
"Austria","2021-01-04","Delta",0,0,315
"Austria","2021-01-04","Omicron",0,0,315
"Austria","2021-01-11","Alpha",48,35.29,136
"Austria","2021-01-11","Delta",0,0,136
"Austria","2021-01-11","Omicron",0,0,136
"Austria","2021-01-25","Alpha",99,39.6,250
"Austria","2021-01-25","Delta",0,0,250
"Austria","2021-01-25","Omicron",0,0,250
"Austria","2021-02-08","Alpha",88,22.86,385
"Austria","2021-02-08","Delta",0,0,385
"Austria","2021-02-08","Omicron",0,0,385
"Austria","2021-02-22","Alpha",239,57.59,415
"Austria","2021-02-22","Delta",0,0,415
"Austria","2021-02-22","Omicron",0,0,415
"Austria","2021-03-08","Alpha",308,66.38,464
"Austria","2021-03-08","Delta",0,0,464
"Austria","2021-03-08","Omicron",0,0,464
"Austria","2021-03-22","Alpha",483,85.19,567
"Austria","2021-03-22","Delta",0,0,567
"Austria","2021-03-22","Omicron",0,0,567
"Austria","2021-04-05","Alpha",270,92.78,291
"Austria","2021-04-05","Delta",0,0,291
"Austria","2021-04-05","Omicron",0,0,291
"Austria","2021-04-19","Alpha",309,87.54,353
"Austria","2021-04-19","Delta",2,0.57,353
"Austria","2021-04-19","Omicron",0,0,353
"Austria","2021-05-03","Alpha",290,88.15,329
"Austria","2021-05-03","Delta",5,1.52,329
"Austria","2021-05-03","Omicron",0,0,329
"Austria","2021-05-17","Alpha",545,88.05,619
"Austria","2021-05-17","Delta",3,0.48,619
"Austria","2021-05-17","Omicron",0,0,619
"Austria","2021-05-31","Alpha",322,82.78,389
"Austria","2021-05-31","Delta",11,2.83,389
"Austria","2021-05-31","Omicron",0,0,389
"Austria","2021-06-14","Alpha",190,47.74,398
"Austria","2021-06-14","Delta",171,42.96,398
"Austria","2021-06-14","Omicron",0,0,398
"Austria","2021-06-28","Alpha",289,38.53,750
"Austria","2021-06-28","Delta",443,59.07,750
"Austria","2021-06-28","Omicron",0,0,750
"Austria","2021-07-12","Alpha",55,10.89,505
"Austria","2021-07-12","Delta",446,88.32,505
"Austria","2021-07-12","Omicron",0,0,505
"Austria","2021-07-26","Alpha",8,1.04,771
"Austria","2021-07-26","Delta",763,98.96,771
"Austria","2021-07-26","Omicron",0,0,771
"Austria","2021-08-09","Alpha",3,0.48,623
"Austria","2021-08-09","Delta",616,98.88,623
"Austria","2021-08-09","Omicron",0,0,623
"Austria","2021-08-23","Alpha",0,0,623
"Austria","2021-08-23","Delta",621,99.68,623
"Austria","2021-08-23","Omicron",0,0,623
"Austria","2021-09-06","Alpha",0,0,585
"Austria","2021-09-06","Delta",583,99.66,585
"Austria","2021-09-06","Omicron",0,0,585
"Austria","2021-09-20","Alpha",0,0,513
"Austria","2021-09-20","Delta",513,100,513
"Austria","2021-09-20","Omicron",0,0,513
"Austria","2021-10-04","Alpha",0,0,444
"Austria","2021-10-04","Delta",444,100,444
"Austria","2021-10-04","Omicron",0,0,444
"Austria","2021-10-18","Alpha",0,0,437
"Austria","2021-10-18","Delta",437,100,437
"Austria","2021-10-18","Omicron",0,0,437
"Austria","2021-11-01","Alpha",0,0,634
"Austria","2021-11-01","Delta",634,100,634
"Austria","2021-11-01","Omicron",0,0,634
"Austria","2021-11-15","Alpha",0,0,561
"Austria","2021-11-15","Delta",561,100,561
"Austria","2021-11-15","Omicron",0,0,561
"Austria","2021-11-29","Alpha",0,0,165
"Austria","2021-11-29","Delta",158,95.76,165
"Austria","2021-11-29","Omicron",7,4.24,165
"Austria","2021-12-13","Alpha",0,0,183
"Austria","2021-12-13","Delta",156,85.25,183
"Austria","2021-12-13","Omicron",27,14.75,183
"Bahrain","2020-06-08","Alpha",0,0,1
"Bahrain","2020-06-08","Delta",0,0,1
"Bahrain","2020-06-08","Omicron",0,0,1
"Bahrain","2020-06-22","Alpha",0,0,2
"Bahrain","2020-06-22","Delta",0,0,2
"Bahrain","2020-06-22","Omicron",0,0,2
"Bahrain","2020-07-06","Alpha",0,0,11
"Bahrain","2020-07-06","Delta",0,0,11
"Bahrain","2020-07-06","Omicron",0,0,11
"Bahrain","2020-08-03","Alpha",0,0,3
"Bahrain","2020-08-03","Delta",0,0,3
"Bahrain","2020-08-03","Omicron",0,0,3
"Bahrain","2020-08-31","Alpha",0,0,3
"Bahrain","2020-08-31","Delta",0,0,3
"Bahrain","2020-08-31","Omicron",0,0,3
"Bahrain","2020-09-14","Alpha",0,0,2
"Bahrain","2020-09-14","Delta",0,0,2
"Bahrain","2020-09-14","Omicron",0,0,2
"Bahrain","2020-09-28","Alpha",0,0,2
"Bahrain","2020-09-28","Delta",0,0,2
"Bahrain","2020-09-28","Omicron",0,0,2
"Bahrain","2020-10-12","Alpha",0,0,10
"Bahrain","2020-10-12","Delta",0,0,10
"Bahrain","2020-10-12","Omicron",0,0,10
"Bahrain","2020-10-26","Alpha",0,0,45
"Bahrain","2020-10-26","Delta",0,0,45
"Bahrain","2020-10-26","Omicron",0,0,45
"Bahrain","2020-11-09","Alpha",0,0,6
"Bahrain","2020-11-09","Delta",0,0,6
"Bahrain","2020-11-09","Omicron",0,0,6
"Bahrain","2020-11-23","Alpha",0,0,38
"Bahrain","2020-11-23","Delta",0,0,38
"Bahrain","2020-11-23","Omicron",0,0,38
"Bahrain","2021-02-08","Alpha",0,0,1
"Bahrain","2021-02-08","Delta",0,0,1
