METAREA,COUNTY,AGE,COVIDUNAW,gender,education,race,hispanic,marital_status
3122,0,33,1,Male,High School or below,Black,Non-Hispanic,Single
6641,0,43,1,Female,Graduate or Professional Degree,Black,Non-Hispanic,Single
3122,0,51,1,Male,Bachelor's,White,Non-Hispanic,Married
3122,0,49,1,Female,Bachelor's,White,Non-Hispanic,Married
3122,0,33,2,Male,High School or below,White,Hispanic,Married
1521,37119,32,1,Male,Graduate or Professional Degree,Asian,Non-Hispanic,Married
1521,37119,27,1,Male,Bachelor's,White,Non-Hispanic,Single
1521,37119,27,1,Male,Bachelor's,White,Non-Hispanic,Single
1521,0,42,1,Female,Bachelor's,White,Non-Hispanic,Single
1521,0,38,2,Female,Bachelor's,White,Non-Hispanic,Single
1521,37179,58,1,Female,Bachelor's,White,Non-Hispanic,Married
1521,37179,54,1,Male,High School or below,White,Non-Hispanic,Married
1521,37179,18,1,Female,Some College or Associate Degree,White,Non-Hispanic,Single
1521,37179,26,1,Male,Some College or Associate Degree,White,Non-Hispanic,Single
6642,0,54,2,Female,Graduate or Professional Degree,Black,Non-Hispanic,Married
6642,0,55,1,Male,Some College or Associate Degree,Black,Non-Hispanic,Married
6642,0,60,1,Female,Bachelor's,White,Non-Hispanic,Divorced
1521,0,28,1,Male,High School or below,White,Non-Hispanic,Married
6642,0,41,1,Female,Graduate or Professional Degree,Black,Non-Hispanic,Single
6641,0,66,1,Male,Graduate or Professional Degree,White,Non-Hispanic,Married
6641,0,69,1,Female,Graduate or Professional Degree,White,Non-Hispanic,Married
3121,0,49,1,Male,Some College or Associate Degree,White,Non-Hispanic,Married
6641,0,35,1,Male,Some College or Associate Degree,White,Non-Hispanic,Married
6641,0,35,1,Female,Bachelor's,White,Non-Hispanic,Married
6641,0,40,1,Female,Graduate or Professional Degree,White,Non-Hispanic,Single
6641,0,56,1,Male,Bachelor's,White,Non-Hispanic,Divorced
1521,0,50,1,Female,Bachelor's,Black,Non-Hispanic,Married
1521,0,48,1,Male,Some College or Associate Degree,Black,Non-Hispanic,Married
1521,0,51,1,Male,Bachelor's,White,Non-Hispanic,Married
1521,0,36,1,Male,High School or below,White,Non-Hispanic,Single
1521,37159,62,1,Male,Some College or Associate Degree,Black,Non-Hispanic,Divorced
6642,0,56,1,Male,Some College or Associate Degree,White,Non-Hispanic,Married
6642,0,47,1,Female,High School or below,White,Non-Hispanic,Married
6642,0,62,2,Male,Bachelor's,White,Non-Hispanic,Married
6642,0,35,2,Female,Some College or Associate Degree,White,Non-Hispanic,Single
6641,0,27,1,Female,Graduate or Professional Degree,White,Non-Hispanic,Single
6641,0,38,1,Male,Bachelor's,White,Non-Hispanic,Single
1521,0,47,1,Male,Bachelor's,Asian,Non-Hispanic,Married
1521,0,43,1,Female,Graduate or Professional Degree,Asian,Non-Hispanic,Married
6641,0,21,1,Male,Some College or Associate Degree,White,Non-Hispanic,Single
6641,0,49,2,Male,Graduate or Professional Degree,White,Non-Hispanic,Married
6641,0,50,2,Female,Graduate or Professional Degree,White,Non-Hispanic,Married
6642,0,51,1,Male,Bachelor's,White,Non-Hispanic,Married
6642,0,51,1,Female,Bachelor's,Asian,Non-Hispanic,Married
3122,0,56,1,Male,Graduate or Professional Degree,Black,Non-Hispanic,Married
3122,0,56,1,Female,Bachelor's,Black,Hispanic,Married
6642,0,37,1,Male,Bachelor's,White,Non-Hispanic,Married
6642,0,61,1,Male,Graduate or Professional Degree,Asian,Non-Hispanic,Married
6642,0,57,1,Female,Graduate or Professional Degree,Asian,Non-Hispanic,Married
1521,37119,63,1,Male,High School or below,White,Non-Hispanic,Divorced
6642,0,44,1,Male,Bachelor's,White,Non-Hispanic,Married
6642,0,47,1,Female,Some College or Associate Degree,White,Non-Hispanic,Married
6642,0,36,1,Female,Bachelor's,White,Non-Hispanic,Married
6642,0,36,1,Male,Graduate or Professional Degree,White,Non-Hispanic,Married
1521,0,61,2,Male,Bachelor's,White,Hispanic,Married
1521,0,57,1,Female,Some College or Associate Degree,White,Non-Hispanic,Married
1521,37119,55,1,Male,Some College or Associate Degree,White,Non-Hispanic,Married
1521,37159,54,2,Male,High School or below,White,Non-Hispanic,Divorced
3121,37067,69,1,Male,High School or below,White,Non-Hispanic,Married
6641,0,51,1,Female,Graduate or Professional Degree,Black,Non-Hispanic,Single
1521,37179,62,1,Male,Bachelor's,White,Non-Hispanic,Married
1521,37179,63,1,Female,Some College or Associate Degree,White,Non-Hispanic,Married
6641,0,39,1,Male,Graduate or Professional Degree,White,Hispanic,Married
6642,0,57,1,Male,High School or below,Black,Non-Hispanic,Divorced
6642,0,57,1,Male,High School or below,White,Hispanic,Married
6642,0,44,1,Female,High School or below,White,Hispanic,Married
3122,0,53,2,Male,Some College or Associate Degree,White,Non-Hispanic,Divorced
6641,0,61,1,Female,Some College or Associate Degree,White,Non-Hispanic,Married
6641,0,58,1,Male,Some College or Associate Degree,White,Non-Hispanic,Married
6642,0,53,1,Male,Bachelor's,White,Non-Hispanic,Married
6642,0,58,2,Female,Some College or Associate Degree,White,Non-Hispanic,Married
2560,0,51,1,Male,Bachelor's,White,Non-Hispanic,Married
1521,0,19,1,Male,Some College or Associate Degree,White,Non-Hispanic,Single
6642,0,50,1,Female,Bachelor's,Asian,Non-Hispanic,Married
6642,0,52,1,Male,Bachelor's,Asian,Non-Hispanic,Married
9999,0,50,1,Male,Some College or Associate Degree,White,Non-Hispanic,Married
6642,0,39,1,Female,Graduate or Professional Degree,White,Non-Hispanic,Single
1521,0,27,1,Male,Bachelor's,White,Hispanic,Married
1521,0,26,1,Female,Bachelor's,White,Hispanic,Married
1521,0,49,1,Male,Some College or Associate Degree,White,Non-Hispanic,Married
1521,0,45,2,Female,High School or below,White,Non-Hispanic,Married
1521,0,22,1,Male,Some College or Associate Degree,White,Non-Hispanic,Single
6642,0,54,1,Female,Some College or Associate Degree,Black,Non-Hispanic,Married
6642,0,47,1,Male,Graduate or Professional Degree,White,Non-Hispanic,Married
6642,0,19,1,Female,Some College or Associate Degree,White,Non-Hispanic,Single
1521,0,37,1,Female,Graduate or Professional Degree,White,Non-Hispanic,Married
1521,0,43,1,Male,Bachelor's,White,Non-Hispanic,Married
1521,37119,27,1,Male,Graduate or Professional Degree,Asian,Non-Hispanic,Married
1521,37119,27,1,Female,Graduate or Professional Degree,Asian,Non-Hispanic,Married
1521,0,57,1,Female,Some College or Associate Degree,White,Non-Hispanic,Married
1521,0,59,1,Male,High School or below,White,Non-Hispanic,Married
6641,0,50,1,Male,Bachelor's,White,Non-Hispanic,Married
6641,0,52,1,Female,Graduate or Professional Degree,White,Non-Hispanic,Married
6641,0,18,2,Male,High School or below,White,Non-Hispanic,Single
1521,37119,43,1,Male,Bachelor's,White,Non-Hispanic,Married
9999,0,51,1,Female,Some College or Associate Degree,Black,Non-Hispanic,Married
9999,0,52,2,Male,Some College or Associate Degree,Black,Non-Hispanic,Married
9999,0,22,1,Female,Some College or Associate Degree,Black,Non-Hispanic,Single
1521,0,50,2,Male,Graduate or Professional Degree,White,Non-Hispanic,Divorced
3121,37057,41,1,Male,Bachelor's,White,Non-Hispanic,Married
6642,0,55,1,Female,High School or below,White,Non-Hispanic,Married
6642,0,61,1,Male,Bachelor's,White,Non-Hispanic,Married
6642,0,35,1,Male,Graduate or Professional Degree,Asian,Non-Hispanic,Married
6642,0,30,1,Female,Bachelor's,Asian,Non-Hispanic,Married
1521,37119,26,1,Female,Some College or Associate Degree,White,Hispanic,Single
1521,37119,46,1,Female,High School or below,White,Hispanic,Married
1521,37119,53,1,Male,High School or below,White,Hispanic,Married
1521,37119,22,1,Male,Some College or Associate Degree,White,Hispanic,Single
1521,37119,39,1,Male,Bachelor's,White,Non-Hispanic,Married
1521,0,33,1,Female,High School or below,White,Non-Hispanic,Married
1521,0,36,1,Male,High School or below,White,Non-Hispanic,Married
1521,0,66,2,Male,Some College or Associate Degree,White,Non-Hispanic,Married
1521,0,62,2,Female,Graduate or Professional Degree,White,Non-Hispanic,Married
1521,0,54,1,Male,Some College or Associate Degree,White,Non-Hispanic,Married
6642,0,40,1,Male,Graduate or Professional Degree,White,Non-Hispanic,Married
6642,0,28,1,Male,Bachelor's,Asian,Non-Hispanic,Married
3122,0,26,1,Female,Some College or Associate Degree,White,Non-Hispanic,Single
3121,37067,27,1,Female,Some College or Associate Degree,White,Non-Hispanic,Married
3121,37067,32,1,Male,High School or below,White,Non-Hispanic,Married
3121,37067,52,1,Male,Graduate or Professional Degree,White,Non-Hispanic,Married
6641,0,37,1,Male,Graduate or Professional Degree,White,Non-Hispanic,Married
3121,37057,32,1,Male,High School or below,White,Non-Hispanic,Single
3121,37057,24,1,Female,Some College or Associate Degree,White,Non-Hispanic,Single
6642,0,38,1,Male,Bachelor's,Asian,Non-Hispanic,Married
3121,37057,40,1,Female,Some College or Associate Degree,White,Non-Hispanic,Divorced
3121,37057,20,2,Female,High School or below,White,Non-Hispanic,Single
3122,0,80,1,Male,Some College or Associate Degree,White,Non-Hispanic,Married
3122,0,80,1,Female,Some College or Associate Degree,White,Non-Hispanic,Married
1521,37119,38,1,Male,Bachelor's,White,Non-Hispanic,Married
1521,37119,20,1,Male,Some College or Associate Degree,White,Non-Hispanic,Single
6642,0,69,1,Female,Bachelor's,Black,Non-Hispanic,Married
6642,0,64,1,Male,Some College or Associate Degree,Black,Non-Hispanic,Married
1521,37119,36,1,Male,High School or below,White,Non-Hispanic,Married
1521,37119,36,1,Female,Bachelor's,White,Non-Hispanic,Married
6642,0,43,1,Male,Graduate or Professional Degree,Asian,Non-Hispanic,Married
6642,0,40,1,Female,Graduate or Professional Degree,Asian,Non-Hispanic,Married
3122,0,53,1,Female,Some College or Associate Degree,White,Non-Hispanic,Married
3122,0,55,2,Male,High School or below,White,Non-Hispanic,Married
6642,0,59,1,Male,High School or below,Black,Non-Hispanic,Single
6642,0,20,1,Female,High School or below,Black,Non-Hispanic,Single
1521,37159,44,1,Male,Some College or Associate Degree,White,Non-Hispanic,Married
1521,37159,40,1,Female,Some College or Associate Degree,White,Non-Hispanic,Married
6642,0,47,1,Female,High School or below,White,Non-Hispanic,Married
6642,0,55,2,Male,High School or below,White,Non-Hispanic,Married
6642,0,19,2,Male,Some College or Associate Degree,White,Non-Hispanic,Single
6642,0,32,1,Male,Bachelor's,White,Non-Hispanic,Married
6642,0,29,1,Female,Graduate or Professional Degree,White,Non-Hispanic,Married
2560,0,32,1,Female,Some College or Associate Degree,White,Non-Hispanic,Married
6641,0,60,1,Female,Bachelor's,White,Non-Hispanic,Married
6641,0,59,1,Male,Some College or Associate Degree,White,Non-Hispanic,Married
6641,0,45,2,Male,Some College or Associate Degree,White,Non-Hispanic,Married
6642,0,25,1,Male,High School or below,White,Hispanic,Married
6642,0,56,1,Male,High School or below,White,Non-Hispanic,Divorced
1521,0,55,1,Male,High School or below,White,Non-Hispanic,Married
1521,0,42,1,Male,Bachelor's,White,Non-Hispanic,Married
3121,37057,47,1,Male,Bachelor's,White,Non-Hispanic,Married
3121,37057,24,1,Male,Bachelor's,White,Non-Hispanic,Single
6642,0,28,1,Male,High School or below,White,Non-Hispanic,Single
1521,37119,31,2,Male,Some College or Associate Degree,Asian,Non-Hispanic,Divorced
1521,37159,55,1,Male,Some College or Associate Degree,Black,Non-Hispanic,Married
1521,37159,49,1,Female,Some College or Associate Degree,Black,Non-Hispanic,Married
1521,37159,34,1,Female,Some College or Associate Degree,Black,Non-Hispanic,Divorced
6642,0,23,1,Male,Bachelor's,White,Non-Hispanic,Single
1521,37179,55,2,Female,Some College or Associate Degree,White,Non-Hispanic,Divorced
9999,0,55,1,Male,High School or below,White,Non-Hispanic,Divorced
9999,0,19,1,Male,High School or below,White,Non-Hispanic,Single
3121,37067,23,1,Male,High School or below,White,Non-Hispanic,Single
3121,37067,28,1,Male,High School or below,White,Non-Hispanic,Single
6642,0,38,2,Male,High School or below,Asian,Non-Hispanic,Married
6642,0,34,1,Female,Graduate or Professional Degree,Black,Non-Hispanic,Divorced
6642,0,62,1,Female,Some College or Associate Degree,Black,Non-Hispanic,Divorced
1521,0,20,2,Male,Some College or Associate Degree,White,Non-Hispanic,Single
6642,0,60,1,Female,Bachelor's,White,Non-Hispanic,Divorced
6642,0,54,1,Female,High School or below,White,Non-Hispanic,Single
1521,37179,49,2,Female,Bachelor's,White,Non-Hispanic,Married
1521,37119,48,1,Female,Bachelor's,White,Non-Hispanic,Married
1521,37119,44,1,Male,Bachelor's,White,Non-Hispanic,Married
3122,0,27,1,Female,Bachelor's,Black,Non-Hispanic,Single
6642,0,41,1,Male,Bachelor's,White,Non-Hispanic,Married
3122,0,62,2,Male,Some College or Associate Degree,White,Non-Hispanic,Married
3122,0,35,1,Male,High School or below,White,Non-Hispanic,Single
9999,0,64,1,Female,High School or below,White,Non-Hispanic,Married
9999,0,62,1,Male,Bachelor's,White,Non-Hispanic,Married
3122,0,49,1,Male,Bachelor's,White,Non-Hispanic,Married
3122,0,51,1,Female,Bachelor's,White,Non-Hispanic,Married
6642,0,49,2,Male,Graduate or Professional Degree,Asian,Non-Hispanic,Married
6642,0,47,2,Male,High School or below,White,Non-Hispanic,Single
6642,0,40,1,Female,High School or below,White,Non-Hispanic,Single
6642,0,30,1,Female,Graduate or Professional Degree,White,Non-Hispanic,Married
6642,0,30,1,Male,Bachelor's,White,Non-Hispanic,Married
6642,0,42,1,Male,Graduate or Professional Degree,Asian,Non-Hispanic,Married
6642,0,47,1,Female,Bachelor's,White,Non-Hispanic,Divorced
6642,0,32,1,Female,Graduate or Professional Degree,White,Non-Hispanic,Single
6642,0,58,1,Female,Graduate or Professional Degree,Asian,Non-Hispanic,Married
1521,37119,35,1,Male,Bachelor's,Asian,Non-Hispanic,Married
1521,37119,57,1,Female,Bachelor's,White,Non-Hispanic,Divorced
6642,0,50,1,Female,Bachelor's,White,Non-Hispanic,Married
6642,0,50,1,Male,High School or below,White,Non-Hispanic,Married
1521,37119,59,1,Female,Bachelor's,White,Non-Hispanic,Married
6642,0,38,2,Female,Some College or Associate Degree,White,Non-Hispanic,Married
6642,0,36,1,Male,High School or below,White,Non-Hispanic,Married
3121,37067,65,1,Male,High School or below,White,Non-Hispanic,Married
3121,37067,55,1,Female,Bachelor's,White,Non-Hispanic,Married
3122,0,29,1,Male,High School or below,Black,Non-Hispanic,Single
6642,0,64,1,Male,Bachelor's,White,Non-Hispanic,Married
6642,0,76,1,Female,Graduate or Professional Degree,White,Non-Hispanic,Divorced
1521,37159,73,2,Female,Some College or Associate Degree,White,Non-Hispanic,Married
2560,0,28,1,Female,High School or below,White,Non-Hispanic,Single
3122,0,27,2,Female,High School or below,White,Non-Hispanic,Single
3121,37067,46,2,Female,High School or below,White,Non-Hispanic,Divorced
